concentration_pM,sensor_surface_c_avg_6000s_pM,Kd_pM,alpha0,noise_floor_pA,lambda_D_nm,effective_charge_distance_nm,N_bound,alpha_eff,DeltaIds_screened_A,DeltaIds_screened_pA,detection_threshold_pA,detectable,required_alpha0_for_detection,maximum_allowed_distance_nm,maximum_allowed_noise_floor_pA
0.5,0.436455382421082,1.0,0.03,5.0,0.8,5.0,60.748659453509866,5.791362408683128e-05,7.045922278967153e-13,0.7045922278967153,15.0,False,0.6386672775873488,2.5534510041948204,0.23486407596557177
0.5,0.436455382421082,1.0,0.03,5.0,0.8,10.0,60.748659453509866,1.1179959516236012e-07,1.3601829806971107e-15,0.0013601829806971107,15.0,False,330.8378404862626,2.5534510041948204,0.00045339432689903684
0.5,0.436455382421082,1.0,0.03,5.0,3.0,0.5,60.748659453509866,0.02539445174671842,3.089555111524184e-10,308.9555111524184,15.0,True,0.0014565203848330107,9.575441265730575,102.98517038413948
0.5,0.436455382421082,1.0,0.03,5.0,3.0,1.0,60.748659453509866,0.021495939317213678,2.6152519399476046e-10,261.52519399476046,15.0,True,0.0017206755231735551,9.575441265730575,87.17506466492014
0.5,0.436455382421082,1.0,0.03,5.0,3.0,2.0,60.748659453509866,0.01540251357097776,1.873909900011302e-10,187.39099000113018,15.0,True,0.0024013961396825213,9.575441265730575,62.463663333710066
0.5,0.436455382421082,1.0,0.03,5.0,3.0,5.0,60.748659453509866,0.005666268085126855,6.89372926821791e-11,68.9372926821791,15.0,True,0.006527671489430696,9.575441265730575,22.97909756072637
0.5,0.436455382421082,1.0,0.03,5.0,3.0,10.0,60.748659453509866,0.0010702198004175717,1.3020572713336018e-11,13.020572713336017,15.0,False,0.0345606917535277,9.575441265730575,4.340190904445339
0.5,0.436455382421082,1.0,0.03,5.0,9.6,0.5,60.748659453509866,0.028477492782005256,3.464645910278685e-10,346.4645910278685,15.0,True,0.0012988340270645533,30.64141205033784,115.48819700928951
0.5,0.436455382421082,1.0,0.03,5.0,9.6,1.0,60.748659453509866,0.027032253171638716,3.288814296738843e-10,328.8814296738843,15.0,True,0.001368274275766241,30.64141205033784,109.6271432246281
0.5,0.436455382421082,1.0,0.03,5.0,9.6,2.0,60.748659453509866,0.024358090384519047,2.9634686901316446e-10,296.34686901316445,15.0,True,0.0015184908195537907,30.64141205033784,98.78228967105483
0.5,0.436455382421082,1.0,0.03,5.0,9.6,5.0,60.748659453509866,0.01782075961660905,2.168120009594344e-10,216.8120009594344,15.0,True,0.002075530865490214,30.64141205033784,72.27066698647813
