concentration_pM,Kd_pM,alpha0,noise_floor_pA,lambda_D_nm,maximum_allowed_distance_nm
100.0,1.0,0.03,1.0,9.6,57.41864188630677
100.0,1.0,0.03,5.0,0.8,3.4973364939116176
100.0,1.0,0.03,5.0,3.0,13.115011852168564
100.0,1.0,0.03,5.0,9.6,41.96803792693941
100.0,1.0,0.03,10.0,0.8,2.9428187494636617
100.0,1.0,0.03,10.0,3.0,11.03557031048873
100.0,1.0,0.03,10.0,9.6,35.313824993563934
100.0,1.0,0.03,50.0,0.8,1.6552684195163812
100.0,1.0,0.03,50.0,3.0,6.207256573186429
100.0,1.0,0.03,50.0,9.6,19.86322103419657
100.0,1.0,0.03,100.0,0.8,1.1007506750684248
100.0,1.0,0.03,100.0,3.0,4.127815031506593
100.0,1.0,0.03,100.0,9.6,13.209008100821098
100.0,1.0,0.1,1.0,0.8,5.748065067319647
100.0,1.0,0.1,1.0,3.0,21.555244002448674
100.0,1.0,0.1,1.0,9.6,68.97678080783575
100.0,1.0,0.1,5.0,0.8,4.460514737372367
100.0,1.0,0.1,5.0,3.0,16.726930265146375
100.0,1.0,0.1,5.0,9.6,53.5261768484684
100.0,1.0,0.1,10.0,0.8,3.9059969929244107
100.0,1.0,0.1,10.0,3.0,14.64748872346654
100.0,1.0,0.1,10.0,9.6,46.87196391509293
100.0,1.0,0.1,50.0,0.8,2.61844666297713
100.0,1.0,0.1,50.0,3.0,9.819174986164239
100.0,1.0,0.1,50.0,9.6,31.42135995572556
100.0,1.0,0.1,100.0,0.8,2.063928918529174
100.0,1.0,0.1,100.0,3.0,7.7397334444844015
100.0,1.0,0.1,100.0,9.6,24.767147022350084
100.0,10.0,0.01,1.0,0.8,3.828342408774549
100.0,10.0,0.01,1.0,3.0,14.356284032904558
100.0,10.0,0.01,1.0,9.6,45.940108905294586
100.0,10.0,0.01,5.0,0.8,2.5407920788272684
100.0,10.0,0.01,5.0,3.0,9.527970295602255
100.0,10.0,0.01,5.0,9.6,30.48950494592722
100.0,10.0,0.01,10.0,0.8,1.9862743343793121
100.0,10.0,0.01,10.0,3.0,7.44852875392242
100.0,10.0,0.01,10.0,9.6,23.835292012551744
